table	column	rows_or_sum	min	max
RefSpectra	<rows>	117783		
RefSpectra	precursorMZ	72512892.55867413	400.51717859040536	901.517116123772
RefSpectra	retentionTime	1314504.355440402	2.003337516667	23.813372533333
RefSpectra	startTime	1306567.3747992397	1.202014933333	23.7654244
RefSpectra	endTime	1322646.4370703837	2.0269066	23.8603181
RefSpectra	score	129.60596624049407	3.0744635061181826E-05	0.009994276781672034
RefSpectra	ionMobility	0	0	0
RetentionTimes	<rows>	353298		
RetentionTimes	retentionTime	3446613.4058412956	1.961938983333	23.813372533333
RetentionTimes	startTime	3914888.547512469	1.202014933333	23.7654244
RetentionTimes	endTime	3962646.571064724	2.0269066	23.870514
RetentionTimes	score	8287.14162545012	3.0744635061181826E-05	1
OspreyRunScores	<rows>	117783		
OspreyRunScores	RunQValue	66.91619461292912	3.0744635061181826E-05	0.009958467928011075
OspreyRunScores	DiscriminantScore	0	0	0
OspreyRunScores	PosteriorErrorProb	0	0	0
OspreyExperimentScores	<rows>	117783		
OspreyExperimentScores	ExperimentQValue	129.60596624049407	3.0744635061181826E-05	0.009994276781672034
OspreyPeakBoundaries	<rows>	117783		
OspreyPeakBoundaries	StartRT	1306567.3747992397	1.202014933333	23.7654244
OspreyPeakBoundaries	EndRT	1322646.4370703837	2.0269066	23.8603181
OspreyPeakBoundaries	ApexRT	1314504.355440402	2.003337516667	23.813372533333
OspreyPeakBoundaries	ApexIntensity	0	0	0
OspreyPeakBoundaries	IntegratedArea	637944630.6171478	0	4525329.633942038
OspreyCoefficients	<rows>	0		
OspreyCoefficients	RT			
OspreyCoefficients	Coefficient			
RefSpectraProteins	<rows>	125668		
Modifications	<rows>	25325		
Modifications	mass	1444068.575799783	57.021464	57.021464
Proteins	<rows>	9802		
SpectrumSourceFiles	<rows>	3		
SpectrumSourceFiles	cutoffScore	0.03	0.01	0.01
OspreyMetadata	<rows>	4		
PeakDigest	<rows>	117783		
