metric	value
hasEntrapment	False
nTarget	1312686
nDecoy	1186087
fileCount	3
featureCount	21
densityRatio.flatnessSlope	0.28302325803255707
densityRatio.plateauRatio	0.774586946594314
densityRatio.nullRegionLo	-26.829638486535384
densityRatio.nullRegionHi	-8.350482085746004
densityRatio.nullRegionBins	39
densityRatio.refFlatnessSlope	n/a
winFraction.nullBandReal	0.4568571138108067
winFraction.nullBandEnt	n/a
pass1.experiment.reportedQ	n/a
pass1.experiment.combinedFdp	n/a
pass1.experiment.pairedFdp	n/a
pass1.experiment.accepted	n/a
pass1.experiment.entrapmentRatio	n/a
pass2.experiment.reportedQ	n/a
pass2.experiment.combinedFdp	n/a
pass2.experiment.pairedFdp	n/a
pass2.experiment.accepted	n/a
pass2.experiment.entrapmentRatio	n/a
