accessions	n_unique	n_shared	best_peptide_score	group_qvalue	is_target_winner
gi|136429|sp|P00761|TRYP_PIG	6	0	4.1150626798543	0	true
sp|A0A0B4J2F0|PIOS1_HUMAN	2	0	2.541830992232896	0	true
sp|A0A1B0GTU1|ZC11B_HUMAN	0	10	4.410366327157951	0	true
sp|A0A1W2PR95|IGB1C_HUMAN	1	1	3.164806918968431	0	true
sp|A0A2R8Y619|H2BK1_HUMAN	2	5	3.803437090329846	0	true
sp|A0A2Z4LIS9|FXO3B_HUMAN	0	3	2.5300987619039446	0	true
sp|A0A3B3IRV3|MCTS2_HUMAN	1	5	3.7503081305194956	0	true
sp|A0A8I5KQE6|RPSA2_HUMAN	1	9	6.5286242130347585	0	true
sp|A0AV96|RBM47_HUMAN	18	2	3.77238217028647	0	true
sp|A0AVT1|UBA6_HUMAN	44	1	4.184797704071603	0	true
sp|A0FGR8|ESYT2_HUMAN	32	0	4.406327383044233	0	true
sp|A0JLT2|MED19_HUMAN	5	0	3.828457177907451	0	true
sp|A0JNW5|BLT3B_HUMAN	17	0	2.6180174300844707	0	true
sp|A0MZ66|SHOT1_HUMAN	31	0	5.0311684404288854	0	true
sp|A0PJW6|TM223_HUMAN	6	0	3.259193785311769	0	true
sp|A1L0T0|HACL2_HUMAN	22	0	5.616843822038808	0	true
sp|A1L390|PKHG3_HUMAN	15	0	2.752859356263778	0	true
sp|A1X283|SPD2B_HUMAN	19	2	2.8472913563326867	0	true
sp|A2A3N6|PIPSL_HUMAN	1	10	4.116418960713666	0	true
sp|A2RRP1|NBAS_HUMAN	49	0	3.306807114222413	0	true
sp|A2RTX5|SYTC2_HUMAN	2	3	3.8591243342187918	0	true
sp|A2RU67|F234B_HUMAN	7	0	3.0890619257969307	0	true
sp|A3KMH1|VWA8_HUMAN	61	0	5.107887300467838	0	true
sp|A3KN83|SBNO1_HUMAN	24	7	3.726301847675918	0	true
sp|A4D1E1|Z804B_HUMAN	3	1	2.4451375026570648	0	true
sp|A4D1E9|GTPBA_HUMAN	20	0	4.2534092231842875	0	true
sp|A4D1P6|WDR91_HUMAN	13	0	3.502831034359914	0	true
sp|A4FU28|CTGE9_HUMAN	0	10	3.1257429312868252	0	true
sp|A4QPH2|PI4P2_HUMAN	1	7	2.7647179866696825	0	true
sp|A5D8V6|VP37C_HUMAN	3	0	3.449432853569006	0	true
sp|A5PLL7|PDES1_HUMAN	4	0	2.9173012284289404	0	true
sp|A5PLN9|TPC13_HUMAN	6	0	3.3794945197635355	0	true
sp|A5YKK6|CNOT1_HUMAN	77	0	5.100877533708703	0	true
sp|A6NCE7|MP3B2_HUMAN;sp|Q9GZQ8|MLP3B_HUMAN	3	0	4.02413512517764	0	true
sp|A6ND36|FA83G_HUMAN	14	0	2.5355224746185425	0	true
sp|A6NDG6|PGP_HUMAN	10	0	4.659646022665027	0	true
sp|A6NDU8|RIMC1_HUMAN	6	0	4.332279799117322	0	true
sp|A6NED2|RCCD1_HUMAN	8	0	4.044497338947324	0	true
sp|A6NHL2|TBAL3_HUMAN	1	5	6.639962428015726	0	true
sp|A6NHQ2|FBLL1_HUMAN	1	3	5.284123454086764	0	true
sp|A6NHR9|SMHD1_HUMAN	84	0	5.121533559700774	0	true
sp|A6NHX0|CAST2_HUMAN	4	0	3.9214511677729234	0	true
sp|A6NIH7|U119B_HUMAN	5	1	3.2972097896619363	0	true
sp|A6NJ78|MET15_HUMAN	9	0	4.248030670975504	0	true
sp|A6NKD9|CC85C_HUMAN	3	0	2.5157087485892418	0	true
sp|A6NKF1|SAC31_HUMAN	11	0	3.4012018024904256	0	true
sp|A6NKT7|RGPD3_HUMAN	0	46	5.932122595672094	0	true
sp|A7E2V4|ZSWM8_HUMAN	19	0	3.0091843871970156	0	true
sp|A7E2Y1|MYH7B_HUMAN	5	1	2.5063942269516137	0	true
sp|A8CG34|P121C_HUMAN	4	18	4.789446455033522	0	true
