metric	value
hasEntrapment	True
nTarget	241545
nDecoy	241662
fileCount	3
featureCount	21
densityRatio.flatnessSlope	0.3761442577652195
densityRatio.plateauRatio	0.6645029616521754
densityRatio.nullRegionLo	-13.367717192506895
densityRatio.nullRegionHi	-6.070517628199469
densityRatio.nullRegionBins	25
densityRatio.refFlatnessSlope	0.24201524401646693
winFraction.nullBandReal	0.44517532186067027
winFraction.nullBandEnt	0.47058645157377643
pass1.coAssign.run.target.n	30942
pass1.coAssign.run.target.nBetter	662
pass1.coAssign.run.entrapment.n	394
pass1.coAssign.run.entrapment.nBetter	26
pass1.coAssign.run.decoy.n	599
pass1.coAssign.run.decoy.nBetter	48
pass1.coAssign.run.enrichment	3.0843774441394327
pass1.coAssign.experiment.target.n	28769
pass1.coAssign.experiment.target.nBetter	955
pass1.coAssign.experiment.entrapment.n	186
pass1.coAssign.experiment.entrapment.nBetter	16
pass1.coAssign.experiment.decoy.n	288
pass1.coAssign.experiment.decoy.nBetter	33
pass1.coAssign.experiment.enrichment	2.591364071384338
pass1.coAssign.cutoff	0.6987001413208336
pass1.coAssign.cutoffInStratum	NaN
pass1.coAssign.cutoffOffStratum	NaN
pass1.coAssign.acceptedInStratum	0
pass1.coAssign.acceptedOffStratum	0
pass1.coAssign.fdrCrossing	0.6977784995707424
pass1.coAssign.fdrCrossingDecoys	289
pass1.coAssign.fdrCrossingNonDecoys	28962
pass2.coAssign.run.target.n	33479
pass2.coAssign.run.target.nBetter	805
pass2.coAssign.run.entrapment.n	240
pass2.coAssign.run.entrapment.nBetter	13
pass2.coAssign.run.decoy.n	722
pass2.coAssign.run.decoy.nBetter	25
pass2.coAssign.run.enrichment	2.2527277432712216
pass2.coAssign.experiment.target.n	29806
pass2.coAssign.experiment.target.nBetter	858
pass2.coAssign.experiment.entrapment.n	147
pass2.coAssign.experiment.entrapment.nBetter	10
pass2.coAssign.experiment.decoy.n	290
pass2.coAssign.experiment.decoy.nBetter	11
pass2.coAssign.experiment.enrichment	2.3631923631923635
pass2.coAssign.cutoff	0.5159997751421523
pass2.coAssign.cutoffInStratum	0.5159997751421523
pass2.coAssign.cutoffOffStratum	0.6987001413208336
pass2.coAssign.acceptedInStratum	29125
pass2.coAssign.acceptedOffStratum	828
pass2.coAssign.fdrCrossing	0.4637347064842763
pass2.coAssign.fdrCrossingDecoys	306
pass2.coAssign.fdrCrossingNonDecoys	30657
pass1.experiment.reportedQ	0.009794759976464888
pass1.experiment.combinedFdp	0.012400569316420907
pass1.experiment.pairedFdp	0.012435053688950468
pass1.experiment.accepted	28691
pass1.experiment.entrapmentRatio	0.9999752175690914
pass2.experiment.reportedQ	0.009805945499587118
pass2.experiment.combinedFdp	0.00950353095945667
pass2.experiment.pairedFdp	0.009536875920224869
pass2.experiment.accepted	29742
pass2.experiment.entrapmentRatio	0.9999752175690914
