metric	value
hasEntrapment	True
nTarget	241551
nDecoy	241595
fileCount	3
featureCount	21
densityRatio.flatnessSlope	0.10975155745708104
densityRatio.plateauRatio	0.7314798426188652
densityRatio.nullRegionLo	-9.288430156576485
densityRatio.nullRegionHi	-4.458765160885295
densityRatio.nullRegionBins	23
densityRatio.refFlatnessSlope	0.0070231712175567035
winFraction.nullBandReal	0.4705315907175936
winFraction.nullBandEnt	0.5014086530813324
pass1.coAssign.run.target.n	29404
pass1.coAssign.run.target.nBetter	597
pass1.coAssign.run.entrapment.n	244
pass1.coAssign.run.entrapment.nBetter	11
pass1.coAssign.run.decoy.n	537
pass1.coAssign.run.decoy.nBetter	87
pass1.coAssign.run.enrichment	2.2204190350660404
pass1.coAssign.experiment.target.n	27181
pass1.coAssign.experiment.target.nBetter	831
pass1.coAssign.experiment.entrapment.n	108
pass1.coAssign.experiment.entrapment.nBetter	7
pass1.coAssign.experiment.decoy.n	271
pass1.coAssign.experiment.decoy.nBetter	69
pass1.coAssign.experiment.enrichment	2.1200138164638767
pass1.coAssign.cutoff	0.6194346952522689
pass1.coAssign.cutoffInStratum	NaN
pass1.coAssign.cutoffOffStratum	NaN
pass1.coAssign.acceptedInStratum	0
pass1.coAssign.acceptedOffStratum	0
pass1.coAssign.fdrCrossing	0.6176696329989412
pass1.coAssign.fdrCrossingDecoys	273
pass1.coAssign.fdrCrossingNonDecoys	27302
pass2.coAssign.run.target.n	33732
pass2.coAssign.run.target.nBetter	820
pass2.coAssign.run.entrapment.n	151
pass2.coAssign.run.entrapment.nBetter	9
pass2.coAssign.run.decoy.n	669
pass2.coAssign.run.decoy.nBetter	53
pass2.coAssign.run.enrichment	2.4518494588919397
pass2.coAssign.experiment.target.n	31310
pass2.coAssign.experiment.target.nBetter	990
pass2.coAssign.experiment.entrapment.n	82
pass2.coAssign.experiment.entrapment.nBetter	6
pass2.coAssign.experiment.decoy.n	306
pass2.coAssign.experiment.decoy.nBetter	38
pass2.coAssign.experiment.enrichment	2.3141167775314115
pass2.coAssign.cutoff	-0.08291808260971602
pass2.coAssign.cutoffInStratum	-0.08291808260971602
pass2.coAssign.cutoffOffStratum	0.6297467225611989
pass2.coAssign.acceptedInStratum	30627
pass2.coAssign.acceptedOffStratum	765
pass2.coAssign.fdrCrossing	-0.09064410400831661
pass2.coAssign.fdrCrossingDecoys	319
pass2.coAssign.fdrCrossingNonDecoys	31929
pass1.experiment.reportedQ	0.009940941271413374
pass1.experiment.combinedFdp	0.007703690470276402
pass1.experiment.pairedFdp	0.006896551724137931
pass1.experiment.accepted	27155
pass1.experiment.entrapmentRatio	0.9999752175690914
pass2.experiment.reportedQ	0.009710007519534443
pass2.experiment.combinedFdp	0.0052319923502104765
pass2.experiment.pairedFdp	0.004561985580297327
pass2.experiment.accepted	31264
pass2.experiment.entrapmentRatio	0.9999752175690914
