accessions	n_unique	n_shared	best_peptide_score	group_qvalue	is_target_winner
gi|136429|sp	3	0	5.177116638915521	0	true
sp|A0A024R1R8|TMA7B_HUMAN;sp|Q9Y2S6|TMA7_HUMAN	1	0	1.7685313442552646	0	true
sp|A0A3B3IRV3|MCTS2_HUMAN;sp|Q9ULC4|MCTS1_HUMAN	2	0	1.8617565586081346	0	true
sp|A0AV96|RBM47_HUMAN	3	0	5.4735402405165265	0	true
sp|A0AVT1|UBA6_HUMAN	13	0	7.151738829803126	0	true
sp|A0FGR8_p_target|ESYT2_HUMAN_p_target	1	0	0.8758549878305769	0	true
sp|A0FGR8|ESYT2_HUMAN	11	0	5.504064051789578	0	true
sp|A0MZ66|SHOT1_HUMAN	13	0	3.7598220757750602	0	true
sp|A0PJW6|TM223_HUMAN	1	0	2.2060693599016807	0	true
sp|A1L0T0|HACL2_HUMAN	5	0	5.781760222384519	0	true
sp|A2A3N6|PIPSL_HUMAN	4	4	6.37524412609308	0	true
sp|A3KMH1_p_target|VWA8_HUMAN_p_target	1	0	0.6579301262968695	0	true
sp|A3KMH1|VWA8_HUMAN	5	0	3.453030435835887	0	true
sp|A3KN83|SBNO1_HUMAN	3	0	1.3175320245395183	0	true
sp|A4D1E9|GTPBA_HUMAN	1	0	0.6307132435630786	0	true
sp|A4D1P6|WDR91_HUMAN	1	0	0.7550951252433415	0	true
sp|A5YKK6|CNOT1_HUMAN	23	0	4.852372208552519	0	true
sp|A5YM69|ARG35_HUMAN;sp|Q12774|ARHG5_HUMAN;tr|A0A2R8YFR7|A0A2R8YFR7_HUMAN;tr|A0A5F9ZGZ6|A0A5F9ZGZ6_HUMAN	1	0	1.8619497550813853	0	true
sp|A6NCE7|MP3B2_HUMAN;sp|Q9GZQ8|MLP3B_HUMAN	1	0	3.643237095052092	0	true
sp|A6NDG6|PGP_HUMAN	7	0	4.06822042596789	0	true
sp|A6NDU8|RIMC1_HUMAN	2	0	3.2501438290451232	0	true
sp|A6NED2|RCCD1_HUMAN	1	0	3.566726298336608	0	true
sp|A6NHR9|SMHD1_HUMAN	10	0	4.7586477094205275	0	true
sp|A6NIH7|U119B_HUMAN	2	0	2.0627567682995793	0	true
sp|A6NKF1|SAC31_HUMAN	1	0	1.9809425256459132	0	true
sp|A7E2V4|ZSWM8_HUMAN	2	0	1.0033002579721504	0	true
sp|A8CG34|P121C_HUMAN;sp|Q96HA1|P121A_HUMAN	2	0	5.624371022414601	0	true
sp|A8MWD9|RUXGL_HUMAN;sp|P62308|RUXG_HUMAN	2	0	6.729357668682048	0	true
sp|A8MWL6|SNG2L_HUMAN;sp|O43760|SNG2_HUMAN	1	0	1.136508877146934	0	true
sp|B0I1T2|MYO1G_HUMAN	19	0	7.302090769835462	0	true
sp|B7ZW38|HNRC3_HUMAN;sp|O60812|HNRC1_HUMAN;sp|P0DMR1|HNRC4_HUMAN	1	7	7.639152681199653	0	true
sp|C4AMC7|WASH3_HUMAN;sp|Q6VEQ5|WASH2_HUMAN	1	1	2.0008364572926536	0	true
