table	column	rows_or_sum	min	max
RefSpectra	<rows>	29329		
RefSpectra	precursorMZ	18628859.87224159	400.552150712872	900.488161724302
RefSpectra	retentionTime	352234.7864433313	2.1700894549	23.710414163633
RefSpectra	startTime	349669.13795340125	2.08057824165	23.647656774383
RefSpectra	endTime	355148.8898429512	2.2642698787	23.8045278293
RefSpectra	score	58.64988934949781	0.00012691965985531158	0.00997881211127059
RefSpectra	ionMobility	0	0	0
RetentionTimes	<rows>	87987		
RetentionTimes	retentionTime	926370.5022586954	2.1700894549	23.710414163633
RetentionTimes	startTime	1048725.5572801381	2.076404061367	23.647656774383
RetentionTimes	endTime	1065393.6339189708	2.231765167133	23.8265445647
RetentionTimes	score	2271.431914788049	9.594166746618056E-05	1
OspreyRunScores	<rows>	29329		
OspreyRunScores	RunQValue	29.65334171331983	9.594166746618056E-05	0.009768732654949121
OspreyRunScores	DiscriminantScore	0	0	0
OspreyRunScores	PosteriorErrorProb	0	0	0
OspreyExperimentScores	<rows>	29329		
OspreyExperimentScores	ExperimentQValue	58.64988934949781	0.00012691965985531158	0.00997881211127059
OspreyPeakBoundaries	<rows>	29329		
OspreyPeakBoundaries	StartRT	349669.13795340125	2.08057824165	23.647656774383
OspreyPeakBoundaries	EndRT	355148.8898429512	2.2642698787	23.8045278293
OspreyPeakBoundaries	ApexRT	352234.7864433313	2.1700894549	23.710414163633
OspreyPeakBoundaries	ApexIntensity	0	0	0
OspreyPeakBoundaries	IntegratedArea	377649516.2036268	0	6464214.47692899
OspreyCoefficients	<rows>	0		
OspreyCoefficients	RT			
OspreyCoefficients	Coefficient			
RefSpectraProteins	<rows>	32724		
Modifications	<rows>	5559		
Modifications	mass	316982.31837597326	57.021464	57.021464
Proteins	<rows>	5166		
SpectrumSourceFiles	<rows>	3		
SpectrumSourceFiles	cutoffScore	0.03	0.01	0.01
OspreyMetadata	<rows>	4		
PeakDigest	<rows>	29329		
