accessions	n_unique	n_shared	best_peptide_score	group_qvalue	is_target_winner
sp|B7ZW38|HNRC3_HUMAN;sp|O60812|HNRC1_HUMAN;sp|P0DMR1|HNRC4_HUMAN	1	9	14.598536269592769	0	true
sp|O43175|SERA_HUMAN	22	0	13.925741535382855	0	true
sp|O75717|WDHD1_HUMAN	18	0	14.210662203121894	0	true
sp|P00338|LDHA_HUMAN	13	0	14.54834124544136	0	true
sp|P02765|FETUA_HUMAN	3	0	14.298130252306802	0	true
sp|P02768|ALBU_HUMAN	4	0	13.029791696768745	0	true
sp|P04083|ANXA1_HUMAN	23	0	13.131975831542375	0	true
sp|P04350|TBB4A_HUMAN	1	13	24.23846755662413	0	true
sp|P05543|THBG_HUMAN	4	1	15.480054751113254	0	true
sp|P06576|ATPB_HUMAN	17	0	13.513608167347485	0	true
sp|P06733|ENOA_HUMAN	18	2	13.172518327099803	0	true
sp|P07237|PDIA1_HUMAN	30	0	13.174437930706393	0	true
sp|P07437|TBB5_HUMAN	3	15	24.23846755662413	0	true
sp|P07910|HNRPC_HUMAN	8	9	15.020015956168756	0	true
sp|P08238|HS90B_HUMAN	15	25	13.113215839248529	0	true
sp|P08670|VIME_HUMAN	33	5	14.05951806781401	0	true
sp|P0DMV8|HS71A_HUMAN;sp|P0DMV9|HS71B_HUMAN	7	17	14.253089900825614	0	true
sp|P0DPH7|TBA3C_HUMAN;sp|P0DPH8|TBA3D_HUMAN	1	14	18.201437892535225	0	true
sp|P11021|BIP_HUMAN	36	1	14.507609712824875	0	true
sp|P11142|HSP7C_HUMAN	18	9	14.253089900825614	0	true
sp|P13473|LAMP2_HUMAN	4	0	14.459857542922876	0	true
sp|P14174|MIF_HUMAN	4	0	14.779584386444364	0	true
sp|P14618|KPYM_HUMAN	30	0	17.06486163610222	0	true
sp|P17066|HSP76_HUMAN	1	8	14.253089900825614	0	true
sp|P19823|ITIH2_HUMAN	6	0	13.285331671211287	0	true
sp|P21796|VDAC1_HUMAN	14	0	14.291736537847651	0	true
sp|P23396|RS3_HUMAN	17	0	13.394388876598581	0	true
sp|P25205|MCM3_HUMAN	37	1	13.401703743140894	0	true
sp|P26373|RL13_HUMAN	11	0	13.259963677770248	0	true
sp|P30050|RL12_HUMAN	7	0	13.934336607050898	0	true
sp|P32119|PRDX2_HUMAN	8	1	16.012889808793812	0	true
sp|P34931|HS71L_HUMAN	0	13	14.253089900825614	0	true
sp|P37802|TAGL2_HUMAN	14	0	13.599283112183729	0	true
sp|P46783|RS10_HUMAN	8	0	14.881803500944233	0	true
sp|P54652|HSP72_HUMAN	2	8	14.253089900825614	0	true
sp|P62249|RS16_HUMAN	10	0	13.65392280160636	0	true
sp|P62263|RS14_HUMAN	5	0	14.187620964316842	0	true
sp|P62277|RS13_HUMAN	8	1	13.099354406362108	0	true
sp|P62826|RAN_HUMAN	9	0	13.903304759036555	0	true
sp|P62937|PPIA_HUMAN	9	0	15.35727049722952	0	true
sp|P63241|IF5A1_HUMAN	7	0	13.52982879549874	0	true
sp|P68363|TBA1B_HUMAN	0	18	18.201437892535225	0	true
sp|P68366|TBA4A_HUMAN	4	14	18.201437892535225	0	true
sp|P68371|TBB4B_HUMAN	1	18	24.23846755662413	0	true
sp|P78527|PRKDC_HUMAN	161	0	13.97738543080274	0	true
sp|Q00610|CLH1_HUMAN	48	16	16.828118784802253	0	true
sp|Q01130|SRSF2_HUMAN	4	2	15.44018921549248	0	true
sp|Q09028|RBBP4_HUMAN	4	7	14.319385324589703	0	true
sp|Q13509|TBB3_HUMAN	4	15	24.23846755662413	0	true
sp|Q13885|TBB2A_HUMAN	2	14	24.23846755662413	0	true
sp|Q15084|PDIA6_HUMAN	13	0	13.872156118785881	0	true
sp|Q15397|PUM3_HUMAN	17	0	13.38193046704208	0	true
sp|Q16576|RBBP7_HUMAN	8	7	14.319385324589703	0	true
sp|Q5T1M5|FKB15_HUMAN	17	0	24.403991345032505	0	true
sp|Q71U36|TBA1A_HUMAN	0	19	18.201437892535225	0	true
sp|Q969V3|NCLN_HUMAN	15	0	14.467195272418925	0	true
sp|Q9BQE3|TBA1C_HUMAN	1	17	18.201437892535225	0	true
sp|Q9BRL6|SRSF8_HUMAN	2	2	15.44018921549248	0	true
sp|Q9BUF5|TBB6_HUMAN	5	9	24.23846755662413	0	true
sp|Q9H4B7|TBB1_HUMAN	1	6	24.23846755662413	0	true
sp|Q9ULW0|TPX2_HUMAN	9	0	19.35296281748826	0	true
sp|Q9UPN6|SCAF8_HUMAN	4	1	20.910954327031146	0	true
gi|136429|sp|P00761|TRYP_PIG	4	0	10.850859673502638	0.002196595277320154	true
sp|A0A024R1R8|TMA7B_HUMAN;sp|Q9Y2S6|TMA7_HUMAN	1	0	4.563361874017276	0.002196595277320154	true
sp|A0A2R8Y4L2|RA1L3_HUMAN	1	18	11.270175663018795	0.002196595277320154	true
sp|A0AV96|RBM47_HUMAN	2	0	3.133745299938357	0.002196595277320154	true
sp|A0AVT1|UBA6_HUMAN	25	0	4.040452920240194	0.002196595277320154	true
sp|A0FGR8|ESYT2_HUMAN	16	0	3.5956933200645147	0.002196595277320154	true
sp|A0MZ66|SHOT1_HUMAN	16	0	4.036490911733966	0.002196595277320154	true
sp|A0PJW6|TM223_HUMAN	3	0	2.6579321435879795	0.002196595277320154	true
sp|A1L0T0|HACL2_HUMAN	10	0	6.230760914778521	0.002196595277320154	true
sp|A2A3N6|PIPSL_HUMAN	0	7	4.222515844638917	0.002196595277320154	true
sp|A3KMH1|VWA8_HUMAN	13	0	3.527683474782341	0.002196595277320154	true
sp|A4D2H0|CTGEF_HUMAN;sp|Q86UF2|CTGE6_HUMAN	1	3	2.705716637835909	0.002196595277320154	true
sp|A5YKK6|CNOT1_HUMAN	31	0	5.116341580178787	0.002196595277320154	true
sp|A6NCE7|MP3B2_HUMAN;sp|Q9GZQ8|MLP3B_HUMAN	2	0	3.568938940567123	0.002196595277320154	true
sp|A6NDG6|PGP_HUMAN	6	0	3.79483874916024	0.002196595277320154	true
sp|A6NDU8|RIMC1_HUMAN	3	0	3.078546934073666	0.002196595277320154	true
sp|A6NHR9|SMHD1_HUMAN	24	0	4.489889704781609	0.002196595277320154	true
sp|A6NKF1|SAC31_HUMAN	2	0	2.5930273451156367	0.002196595277320154	true
sp|A6NKT7|RGPD3_HUMAN	0	20	6.45750429866	0.002196595277320154	true
sp|A8CG34|P121C_HUMAN	6	0	3.1348428415692817	0.002196595277320154	true
sp|A8K855|EFCB7_HUMAN	1	0	3.76062852896286	0.002196595277320154	true
sp|A8MWD9|RUXGL_HUMAN;sp|P62308|RUXG_HUMAN	3	0	8.534630431752507	0.002196595277320154	true
sp|A9QM74|IMA8_HUMAN	1	0	6.283497777022125	0.002196595277320154	true
sp|B0I1T2|MYO1G_HUMAN	24	0	6.209942657056649	0.002196595277320154	true
sp|C9JRZ8|AK1BF_HUMAN	0	3	7.107563883179179	0.002196595277320154	true
sp|E9PAV3|NACAM_HUMAN	4	0	10.147362855494224	0.002196595277320154	true
sp|O00115|DNS2A_HUMAN	2	0	3.1201946091381814	0.002196595277320154	true
sp|O00116|ADAS_HUMAN	17	0	5.12182381644726	0.002196595277320154	true
sp|O00139|KIF2A_HUMAN	10	0	4.840429262150208	0.002196595277320154	true
sp|O00148|DX39A_HUMAN	11	10	10.177872407347705	0.002196595277320154	true
sp|O00154|BACH_HUMAN	10	0	4.756952560093981	0.002196595277320154	true
sp|O00159|MYO1C_HUMAN	17	1	4.3234624502012196	0.002196595277320154	true
sp|O00161|SNP23_HUMAN	6	0	2.83718322895281	0.002196595277320154	true
sp|O00170|AIP_HUMAN	12	0	3.800648457208321	0.002196595277320154	true
sp|O00178|GTPB1_HUMAN	7	0	2.7477726408847487	0.002196595277320154	true
sp|O00186|STXB3_HUMAN	11	0	5.7918412286233965	0.002196595277320154	true
sp|O00194|RB27B_HUMAN	5	1	3.7549341545047836	0.002196595277320154	true
sp|O00203|AP3B1_HUMAN	12	0	3.940109077203836	0.002196595277320154	true
sp|O00217|NDUS8_HUMAN	5	0	6.522556341669686	0.002196595277320154	true
sp|O00231|PSD11_HUMAN	21	0	6.0266935512192275	0.002196595277320154	true
sp|O00232|PSD12_HUMAN	16	0	7.110760227728681	0.002196595277320154	true
