accessions	n_unique	n_shared	best_peptide_score	group_qvalue	is_target_winner
gi|136429|sp|P00761|TRYP_PIG	5	0	5.434551300216344	0	true
sp|A0A0B4J2F0|PIOS1_HUMAN	2	0	2.937232907500673	0	true
sp|A0A1B0GTU1|ZC11B_HUMAN	0	9	4.356737620882275	0	true
sp|A0A2R8Y619|H2BK1_HUMAN	2	3	4.482151329069379	0	true
sp|A0A2Z4LIS9|FXO3B_HUMAN	0	3	2.500982318112437	0	true
sp|A0A3B3IRV3|MCTS2_HUMAN	1	5	4.456219259016918	0	true
sp|A0A8I5KQE6|RPSA2_HUMAN	1	9	7.13279929591797	0	true
sp|A0AV96|RBM47_HUMAN	18	2	4.5098753500171735	0	true
sp|A0AVT1|UBA6_HUMAN	44	0	4.708527246850662	0	true
sp|A0FGR8|ESYT2_HUMAN	31	0	4.775114289931783	0	true
sp|A0JLT2|MED19_HUMAN	5	0	4.070989280444148	0	true
sp|A0JNW5|BLT3B_HUMAN	17	0	2.561550333588389	0	true
sp|A0MZ66|SHOT1_HUMAN	31	0	5.465640347351955	0	true
sp|A0PJW6|TM223_HUMAN	5	0	4.1060108598373395	0	true
sp|A1A4S6|RHG10_HUMAN	9	0	2.298529032930209	0	true
sp|A1A5D9|BICL2_HUMAN	2	0	2.964913154835533	0	true
sp|A1L0T0|HACL2_HUMAN	22	0	6.181643322489241	0	true
sp|A1L390|PKHG3_HUMAN	14	0	3.0010388489381015	0	true
sp|A1X283|SPD2B_HUMAN	19	2	2.848171682801986	0	true
sp|A2A3K4|PTPC1_HUMAN	1	0	2.2829311649410435	0	true
sp|A2A3N6|PIPSL_HUMAN	1	9	4.795176068015521	0	true
sp|A2RRP1|NBAS_HUMAN	50	0	3.1076851677150863	0	true
sp|A2RTX5|SYTC2_HUMAN	3	3	4.905599708354083	0	true
sp|A2RU67|F234B_HUMAN	7	0	2.8767110619013434	0	true
sp|A3KMH1|VWA8_HUMAN	61	0	5.829763855041741	0	true
sp|A3KN83|SBNO1_HUMAN	24	7	4.013989016938901	0	true
sp|A4D1E1|Z804B_HUMAN	3	1	2.777225146834814	0	true
