"","Protein","Label","log2FC","SE","Tvalue","DF","pvalue","adj.pvalue"
"1","NP_001007697","NickTestComparison",-2.47646111759161,0.224673179852438,-11.022504418276,468,0,0
"2","NP_001008724","NickTestComparison",0.292836605676542,0.0264072583113112,11.0892468360151,1135,0,0
"3","NP_001010968","NickTestComparison",0.293835551313976,0.112002551112342,2.62347195127055,575,0.00893487446581087,0.00997381335718423
"4","NP_001011908","NickTestComparison",-0.797653221987931,0.0536204961646228,-14.8759015496428,924,0,0
"5","NP_001012027","NickTestComparison",0.558249074735919,0.0582495036591114,9.5837567647428,642,0,0
"6","NP_001013967","NickTestComparison",-0.366171430470505,0.0430839535957052,-8.49902109510689,479,2.22044604925031e-16,3.43811001174242e-16
"7","NP_001033064","NickTestComparison",-0.87359656687918,0.0325580082615819,-26.8320027398609,889,0,0
"8","NP_001101333","NickTestComparison",-0.513231328299044,0.114872265560738,-4.46784370268796,192,1.34773285327405e-05,1.65874812710653e-05
"9","NP_001121161","NickTestComparison",-0.358123270243977,0.0517861485264643,-6.91542585100656,725,1.02495789633394e-11,1.36661052844526e-11
"10","NP_036620","NickTestComparison",2.2212565092831,0.0956645645907344,23.2192193502989,725,0,0
"11","NP_036629","NickTestComparison",0.385839124846026,0.0930160469789182,4.14809204839113,233,4.69959294462363e-05,5.63951153354836e-05
"12","NP_036664","NickTestComparison",1.06641062525922,0.0363125613912249,29.3675407187585,930,0,0
"13","NP_036691","NickTestComparison",0.65082148779848,0.0302937599257849,21.483681437791,192,0,0
"14","NP_036714","NickTestComparison",-4.75018987981436,0.0658529979499874,-72.133236567634,397,0,0
"15","NP_036745","NickTestComparison",1.46006987633603,0.0955268553535721,15.2843917130099,479,0,0
"16","NP_036774","NickTestComparison",-1.0790792651731,0.0886931826831673,-12.1664284957258,438,0,0
"17","NP_036789","NickTestComparison",-1.23626751250852,0.0335929016562073,-36.8014506505151,654,0,0
"18","NP_036828","NickTestComparison",3.75618005649423,0.0312495969754105,120.199311992723,479,0,0
"19","NP_036869","NickTestComparison",-0.336289115283413,0.0420426375829901,-7.99876350810757,725,4.88498130835069e-15,7.32747196252603e-15
"20","NP_036870","NickTestComparison",1.41971694292152,0.0657286347814258,21.5996718575192,498,0,0
"21","NP_037001","NickTestComparison",-0.0434233889804481,0.0729741676241376,-0.595051514723752,428,0.552123504403559,0.552123504403559
"22","NP_037030","NickTestComparison",-0.258043935273942,0.0352168230032635,-7.32729171084028,479,1.00452979268084e-12,1.41815970731413e-12
"23","NP_037244","NickTestComparison",0.212769882878911,0.137232077897425,1.55043839704844,407,0.12181354053413,0.127109781426918
"24","NP_058690","NickTestComparison",0.276691307744988,0.154894935253839,1.7863160424939,477,0.0746831295489907,0.0796620048522567
"25","NP_058716","NickTestComparison",-2.44333113299803,0.140028596836162,-17.4488010892289,479,0,0
"26","NP_062016","NickTestComparison",0.579749971737451,0.0337425017594245,17.1815941767129,971,0,0
"27","NP_062212","NickTestComparison",-0.45071223434673,0.0585962088725187,-7.69183268028986,760,4.48530101948563e-14,6.52407421016092e-14
"28","NP_062242","NickTestComparison",1.8909785371971,0.0204367632140609,92.5282794242129,725,0,0
"29","NP_075213","NickTestComparison",0.831773720766532,0.0224458802578505,37.0568545858485,684,0,0
"30","NP_113692","NickTestComparison",0.964217347837579,0.0345419118132144,27.9144175068129,233,0,0
"31","NP_150641","NickTestComparison",-2.75281263711867,0.161187951474262,-17.0782779478293,516,0,0
"32","NP_444180","NickTestComparison",0.637548740649597,0.0531089244562638,12.0045500295271,479,0,0
"33","NP_445770","NickTestComparison",1.55795859560479,0.0265455957264675,58.6899089272054,684,0,0
"34","NP_446290","NickTestComparison",0.0426087343873352,0.0539379936231409,0.789957718580302,1258,0.429701335515049,0.438843917121752
"35","NP_476487","NickTestComparison",1.51157023018986,0.0208489231349404,72.5011177031319,479,0,0
"36","NP_602308","NickTestComparison",0.736547882899396,0.0996805928839873,7.38908007656639,167,6.73883171486978e-12,9.24182635182141e-12
"37","NP_620183","NickTestComparison",0.993880562333524,0.0845670883273187,11.7525692558633,643,0,0
"38","NP_665722","NickTestComparison",0.870667440723217,0.0236839265659541,36.7619549190298,1217,0,0
"39","NP_758823","NickTestComparison",-0.743651951421241,0.0231383429313985,-32.1393780715435,426,0,0
"40","NP_872279","NickTestComparison",-0.132630214593776,0.0422829596384104,-3.13672968325739,643,0.00178643711878035,0.00204164242146326
"41","NP_872280","NickTestComparison",-1.57868390551045,0.0240186881408359,-65.7273160071724,643,0,0
"42","S","NickTestComparison",0.649093664823199,0.101655040060726,6.38525806920588,602,3.42195161096015e-10,4.32246519279177e-10
"43","XP_001053003","NickTestComparison",1.30784554269515,0.0269445903445594,48.5383346330678,479,0,0
"44","XP_001057320","NickTestComparison",0.320615754464425,0.0217751719280857,14.723913800694,438,0,0
"45","XP_001066264","NickTestComparison",-0.0907725925887918,0.0425917370650042,-2.1312254170393,684,0.0334264919410385,0.0364652639356784
"46","XP_001067936","NickTestComparison",0.322001722885324,0.0484407637175546,6.64732960782434,725,5.87001558471911e-11,7.61515535314912e-11
"47","XP_001068814","NickTestComparison",-0.284718807729893,0.0696201972430487,-4.08960070503564,479,5.06835004028261e-05,5.93367809594062e-05
"48","XP_216782","NickTestComparison",-0.247217436955589,0.0271649843604149,-9.10059191183767,684,0,0
