"","Protein","RUN","LogIntensities","NumFeature","NumPeaks"
"1","NP_001007697","1",9.37787924942285,12,12
"2","NP_001007697","2",12.5512938497601,12,12
"3","NP_001007697","3",13.8864892982497,12,11
"4","NP_001007697","4",8.99446140258332,12,12
"5","NP_001007697","5",10.213599287811,12,12
"6","NP_001007697","6",10.5328378142919,12,12
"7","NP_001007697","7",9.63139918295771,12,12
"8","NP_001007697","8",10.7263557468289,12,12
"9","NP_001007697","9",10.6821375423177,12,12
"10","NP_001007697","10",10.2165163954147,12,12
"11","NP_001007697","11",10.0780519937879,12,12
"12","NP_001007697","12",11.7699451484943,12,11
"13","NP_001007697","13",11.296287608851,12,10
"14","NP_001007697","14",9.48531292347251,12,12
"15","NP_001007697","15",11.1300934080505,12,11
"16","NP_001007697","16",8.94077385682033,12,12
"17","NP_001007697","17",10.7486733867975,12,12
"18","NP_001007697","18",13.0927693186905,12,8
"19","NP_001007697","19",11.0936884963354,12,11
"20","NP_001007697","20",10.2671957148515,12,12
"21","NP_001007697","21",11.266147189611,12,11
"22","NP_001007697","22",12.228440334508,12,12
"23","NP_001007697","23",12.2643606050075,12,12
"24","NP_001007697","24",14.0512765140687,12,12
"25","NP_001007697","25",11.4252769803339,12,12
"26","NP_001007697","26",12.1011960541217,12,12
"27","NP_001007697","27",13.0974568403344,12,12
"28","NP_001007697","28",12.6767962316989,12,12
"29","NP_001007697","29",14.4185158714139,12,12
"30","NP_001007697","30",14.9019848489861,12,12
"31","NP_001007697","31",13.6166799676072,12,12
"32","NP_001007697","32",14.1905507223397,12,12
"33","NP_001007697","33",15.4235869785208,12,12
"34","NP_001007697","34",13.9645122666057,12,12
"35","NP_001007697","35",14.1753441273938,12,12
"36","NP_001007697","36",14.5763047782161,12,12
"37","NP_001007697","37",13.4856127385595,12,12
"38","NP_001007697","38",13.7752845936475,12,12
"39","NP_001007697","39",14.08646734006,12,12
"40","NP_001007697","40",13.6262379248233,12,12
"41","NP_001007697","41",13.7450508295738,12,12
"42","NP_001007697","42",15.2336559042431,12,12
"43","NP_001008724","1",16.0972935063379,28,28
"44","NP_001008724","2",17.3761422990095,28,28
"45","NP_001008724","3",18.6809116921784,28,28
"46","NP_001008724","4",14.9677881296721,28,28
"47","NP_001008724","5",16.1758922660754,28,28
"48","NP_001008724","6",17.0885344403218,28,28
"49","NP_001008724","7",15.8592098444566,28,28
"50","NP_001008724","8",16.7483145489545,28,28
"51","NP_001008724","9",17.8887110830858,28,28
"52","NP_001008724","10",16.1232702384806,28,28
"53","NP_001008724","11",16.6578527195012,28,28
"54","NP_001008724","12",17.4433458246006,28,28
"55","NP_001008724","13",16.4261259774991,28,28
"56","NP_001008724","14",16.8674164750768,28,28
"57","NP_001008724","15",17.8211291897914,28,28
"58","NP_001008724","16",15.6457835575552,28,28
"59","NP_001008724","17",16.3579308593397,28,28
"60","NP_001008724","18",17.1886112208552,28,28
"61","NP_001008724","19",16.5197491322413,28,28
"62","NP_001008724","20",16.7988623617601,28,28
"63","NP_001008724","21",17.8740827727717,28,28
"64","NP_001008724","22",15.4384049568374,28,28
"65","NP_001008724","23",16.5023072841268,28,28
"66","NP_001008724","24",17.3184672868028,28,28
"67","NP_001008724","25",14.5095772828176,28,28
"68","NP_001008724","26",15.4619914347541,28,28
"69","NP_001008724","27",16.5109069051135,28,28
"70","NP_001008724","28",17.5330954888586,28,28
"71","NP_001008724","29",18.6600765065736,28,28
"72","NP_001008724","30",19.2216606540125,28,28
"73","NP_001008724","31",16.7953876615221,28,28
"74","NP_001008724","32",17.813320708237,28,28
"75","NP_001008724","33",18.7579811338526,28,28
"76","NP_001008724","34",16.8629637655653,28,28
"77","NP_001008724","35",17.4143858095703,28,28
"78","NP_001008724","36",17.819029283221,28,28
"79","NP_001008724","37",16.1804135196057,28,28
"80","NP_001008724","38",16.6523852870654,28,28
"81","NP_001008724","39",18.034533979408,28,28
"82","NP_001008724","40",16.6762298010484,28,28
"83","NP_001008724","41",17.3141778859333,28,28
"84","NP_001008724","42",18.6110597467188,28,28
"85","NP_001010968","1",12.8456913537967,15,15
"86","NP_001010968","2",13.9572216742792,15,15
"87","NP_001010968","3",15.3391545816654,15,15
"88","NP_001010968","4",11.9753652589103,15,15
"89","NP_001010968","5",12.6860087587093,15,15
"90","NP_001010968","6",13.9951484330961,15,6
"91","NP_001010968","7",13.0044425738364,15,15
"92","NP_001010968","8",11.725232549053,15,15
"93","NP_001010968","9",14.6485379517826,15,15
"94","NP_001010968","10",13.3725553662872,15,15
"95","NP_001010968","11",13.7527543868267,15,15
"96","NP_001010968","12",14.8185525288988,15,15
"97","NP_001010968","13",13.5361348970894,15,15
"98","NP_001010968","14",13.827758477108,15,15
